"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GRAO MOGOL",15788,"120ª ZONA ELEITORAL - GRÃO MOGOL",NA,NA,0,0,0,0,0,0,217,217,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GUANHAES",15789,"121ª ZONA ELEITORAL - GUANHÃES",NA,NA,0,0,0,0,0,0,259,253,0,139.547710976282,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GUAPE",15790,"122ª ZONA ELEITORAL - GUAPÉ",NA,NA,0,0,0,0,0,0,195,195,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","GUAXUPE",15793,"125ª ZONA ELEITORAL - GUAXUPÉ",NA,NA,0,0,0,0,0,0,419,418,1,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","IBIA",15794,"126ª ZONA ELEITORAL - IBIÁ",NA,NA,0,0,0,0,0,0,104,104,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","IBIRACI",15795,"127ª ZONA ELEITORAL - IBIRACI",NA,NA,0,0,0,0,0,0,197,197,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","IBIRITE",15956,"288ª ZONA ELEITORAL - IBIRITÉ",NA,NA,0,0,0,0,0,0,277,277,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","IBIRITE",16019,"351ª ZONA ELEITORAL - IBIRITÉ",NA,NA,0,0,0,0,0,0,257,254,0,141.189549749861,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","IGARAPE",15710,"41ª ZONA ELEITORAL - IGARAPÉ",NA,NA,0,0,0,0,0,0,465,452,0,138.863287250384,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","INHAPIM",15796,"128ª ZONA ELEITORAL - INHAPIM",NA,NA,0,0,0,0,0,0,259,259,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
